CODIGO,CODIGO_CORTO,ESTACION,DIRECCION,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD,COD_TIPO,NOM_TIPO,NO2,SO2,CO,PM10,PM2_5,O3,BTX,COD_VIA,VIA_CLASE,VIA_PAR,VIA_NOMBRE,Fecha alta,COORDENADA_X_ETRS89,COORDENADA_Y_ETRS89,LONGITUD,LATITUD
28079004,4,Plaza de España,Plaza de España,"3°42'43.91""O","40°25'25.98""N",637,UT,Urbana tráfico,X,X,X,,,,,273600,PLAZA,DE,ESPAÑA,1/12/98,439579,,,
28079008,8,Escuelas Aguirre,Entre C/ Alcalá y C/ O’ Donell ,"3°40'56.22""O","40°25'17.63""N",672,UT,Urbana tráfico,X,X,X,X,X,X,X,18900,CALLE,DE,ALCALA,1/12/98,442117,,,
28079011,11,Ramón y Cajal,Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara,"3°40'38.50""O","40°27'5.29""N",708,UT,Urbana tráfico,X,,,,,,X,610450,CALLE,DEL,PRINCIPE DE VERGARA,1/12/98,442564,,,
28079016,16,Arturo Soria,C/ Arturo Soria  esq. C/  Vizconde de los Asilos ,"3°38'21.17""O","40°26'24.20""N",695,UF,Urbana fondo,X,,,,,X,,798700,CALLE,DEL,VIZCONDE DE LOS ASILOS,1/12/98,445786,,,
28079017,17,Villaverde,C/ Juan Peñalver,"3°42'47.89""O","40°20'49.74""N",601,UF,Urbana fondo,X,,,,,X,,417200,CALLE,DE,JUAN PEÑALVER,1/12/98,439420,,,
28079018,18,Farolillo,C/ Farolillo - C/ Ervigio,"3°43'54.61""O","40°23'41.22""N",632,UF,Urbana fondo,X,,,X,,X,X,1903,CALLE,DEL,FAROLILLO,31/03/2001,437891,,,
28079024,24,Casa de Campo,Casa de Campo  (Terminal del Teleférico),"3°44'50.44""O","40°25'9.69""N",646,S,Suburbana,X,,,X,X,X,X,905219,CARRETERA,DEL,TELEFERICO,1/12/98,436598,,,
28079027,27,Barajas Pueblo,C/ Júpiter,,,,,,,,,,,,,,,,,,,,,
28079035,35,Plaza del Carmen,Plaza del Carmen esq. Tres Cruces,"3°42'11.40""O","40°25'9.15""N",660,UF,Urbana fondo,X,X,X,,,X,,145800,PLAZA,DEL,CARMEN,1/11/99,440346,,,
28079036,36,Moratalaz,Avda. Moratalaz  esq. Camino de los Vinateros,"3°38'43.02""O","40°24'28.64""N",671,UT,Urbana tráfico,X,X,,X,,,,522000,AVENIDA,DE,MORATALAZ,1/12/98,445245,,,
28079038,38,Cuatro Caminos,Avda. Pablo Iglesias esq. C/ Marqués de Lema,"3°42'25.64""O","40°26'43.97""N",699,UT,Urbana tráfico,X,,,X,X,,X,554550,AVENIDA,DE,PABLO IGLESIAS,1/11/98,440033,,,
28079039,39,Barrio del Pilar,Avda. Betanzos esq. C/  Monforte de Lemos ,"3°42'41.53""O","40°28'41.64""N",676,UT,Urbana tráfico,X,,,,,X,,514425,AVENIDA,DE,MONFORTE DE LEMOS,1/5/98,439689,,,
28079040,40,Vallecas,C/ Arroyo del Olivar  esq. C/  Río Grande. ,"3°39'5.50""O","40°23'17.33""N",677,UF,Urbana fondo,X,,,X,,,,75500,CALLE,DEL,ARROYO DEL OLIVAR,30/09/1999,444701,,,
28079047,47,Méndez Álvaro,C/ Juan de Mariana / Plaza Amanecer Méndez Álvaro,"3°41'12.57""O","40°23'53.17""N",600,UF,Urbana fondo,X,,,X,X,,,414800,CALLE,DE,JUAN DE MARIANA,21/12/2009,441715,,,
28079048,48,Castellana,C/ José Gutiérrez Abascal,"3°41'25.34""O","40°26'23.61""N",680,UT,Urbana tráfico,X,,,X,X,,,401400,CALLE,DE,JOSE GUTIERREZ ABASCAL,1/2/10,441449,,,
28079049,49,Parque del Retiro,Paseo Venezuela- Palacio de Velázquez,3º 40' 57''O,40º 24' 52''N,662,UF,Urbana fondo,X,,,,,X,,905011,PASEO,DE,VENEZUELA,1/1/10,442095,,,
28079050,50,Plaza Castilla,Plaza Castilla (Canal),"3°41'19.48""O","40°27'56.10""N",728,UT,Urbana tráfico,X,,,X,X,,,154500,PLAZA,DE,CASTILLA,1/2/10,441609,,,
28079054,54,Ensanche de Vallecas,Avda. La Gavia / Avda. Las Suertes,"3°36'43.70""O","40°22'22.84""N",629,UF,Urbana fondo,X,,,,,X,,31000516,AVENIDA,DE,LA GAVIA,11/12/09,448033,,,
